id,TryStartLine,TryEndLine,TryLOC,CatchStartLine,CatchEndLine,CatchLOC,CatchStart,CatchLength,MethodStartLine,MethodEndLine,MethodLOC,Binded,RecoveredBinding,Kind,Checked,ParentNodeType,RecoverFlag,InnerCatch,ParentTryStartLine,Logged,MultiLog,Abort,Default,GetCause,OtherInvocation,NumThrown,NumThrowNew,NumThrowWrapCurrentException,Return,Continue,EmptyBlock,CatchException,FinallyThrowing,NumDistinctMethods,NumMethodsNotBinded,NumDistinctExceptions,NumSpecificHandler,NumSubsumptionHandler,NumSupersumptionHandler,NumOtherHandler,MaxLevel,NumIsBindingInfo,NumIsDocSemantic,NumIsDocSyntax,NumIsThrow,ToDo,ExceptionType,ParentMethod,ParentType,FilePath,StartLine
42,147,151,3,152,155,1,5429,49,146,156,8,1,0,1,1,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,4,0,3,0,1,1,4,0,0,0,0,"java.security.GeneralSecurityException","loadStore(String,char[],String)","org.apache.jmeter.rmi.SSLRMIServerSocketFactory","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\rmi\SSLRMIServerSocketFactory.java",152
43,110,113,2,113,116,1,3927,69,109,117,7,1,0,1,1,31,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,7,1,4,0,4,17,5,0,1,2,0,"java.security.GeneralSecurityException","getSSLSocketFactory()","org.apache.jmeter.util.HttpSSLProtocolSocketFactory","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\util\HttpSSLProtocolSocketFactory.java",113
44,104,116,10,116,119,1,4491,69,98,121,21,1,0,1,1,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,1,4,0,2,15,5,0,0,2,0,"java.security.GeneralSecurityException","JsseSSLManager(Provider)","org.apache.jmeter.util.JsseSSLManager","C:\Users\pavan\Downloads\jmeter-master\src\core\src\main\java\org\apache\jmeter\util\JsseSSLManager.java",116
45,372,379,6,379,381,1,17566,86,329,387,61,1,0,1,1,51,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,1,5,0,1,2,7,0,2,1,0,"java.security.GeneralSecurityException","getSSLSocketFactory(String)","org.apache.jmeter.protocol.http.proxy.Proxy","C:\Users\pavan\Downloads\jmeter-master\src\protocol\http\src\main\java\org\apache\jmeter\protocol\http\proxy\Proxy.java",379
46,522,524,1,524,527,2,21462,138,521,550,31,1,0,1,1,31,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,8,1,3,0,4,24,7,0,3,2,0,"java.security.GeneralSecurityException","startProxy()","org.apache.jmeter.protocol.http.proxy.ProxyControl","C:\Users\pavan\Downloads\jmeter-master\src\protocol\http\src\main\java\org\apache\jmeter\protocol\http\proxy\ProxyControl.java",524
47,775,786,5,786,790,2,33991,175,773,793,14,1,0,1,1,25,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,9,0,2,0,2,0,0,2,2,0,0,0,0,"java.security.GeneralSecurityException","getCertificateDetails()","org.apache.jmeter.protocol.http.proxy.ProxyControl","C:\Users\pavan\Downloads\jmeter-master\src\protocol\http\src\main\java\org\apache\jmeter\protocol\http\proxy\ProxyControl.java",786
48,1528,1540,12,1561,1567,2,66635,293,1526,1597,62,1,0,1,1,25,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,5,1,3,0,1,2,5,0,0,0,0,"java.security.GeneralSecurityException","initDynamicKeyStore()","org.apache.jmeter.protocol.http.proxy.ProxyControl","C:\Users\pavan\Downloads\jmeter-master\src\protocol\http\src\main\java\org\apache\jmeter\protocol\http\proxy\ProxyControl.java",1561
49,125,127,1,127,130,1,5779,73,109,174,52,1,0,1,1,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,"org.apache.http.cookie.MalformedCookieException","addCookieFromHeader(CookieManager,boolean,String,URL)","org.apache.jmeter.protocol.http.control.HC4CookieHandler","C:\Users\pavan\Downloads\jmeter-master\src\protocol\http\src\main\java\org\apache\jmeter\protocol\http\control\HC4CookieHandler.java",127
50,136,138,1,138,143,2,6217,278,109,174,52,1,0,1,1,25,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,"org.apache.http.cookie.MalformedCookieException","addCookieFromHeader(CookieManager,boolean,String,URL)","org.apache.jmeter.protocol.http.control.HC4CookieHandler","C:\Users\pavan\Downloads\jmeter-master\src\protocol\http\src\main\java\org\apache\jmeter\protocol\http\control\HC4CookieHandler.java",138
51,67,77,7,77,80,1,2894,36,66,82,13,1,0,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,1,1,0,0,0,1,1,0,0,0,0,"net.minidev.json.parser.ParseException","prettyJSON(String,String)","org.apache.jmeter.visualizers.RenderAsJSON","C:\Users\pavan\Downloads\jmeter-master\src\components\src\main\java\org\apache\jmeter\visualizers\RenderAsJSON.java",77
