Kind,Project,Name,File Path,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/AuthCache.java,cassandra/src/java/org/apache/cassandra/auth/AuthCache.java,1,1,1,1,10,0,9,0,3,0,2,17,17,16,11,16,0,1,4,11,212,30,164,57,70,18,76,103,50,56,4,4,4,3,1,0.11,27,27,27,21
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/AuthCacheMBean.java,cassandra/src/java/org/apache/cassandra/auth/AuthCacheMBean.java,0,0,0,0,0,0,0,0,1,0,0,0,7,7,0,7,0,0,0,7,36,8,11,9,0,17,8,9,9,0,0,0,0,0,0,1.55,0,0,0,0
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/AuthConfig.java,cassandra/src/java/org/apache/cassandra/auth/AuthConfig.java,9,9,14,1,74,20,44,10,1,1,2,1,1,0,0,1,0,0,0,1,113,26,56,16,38,31,33,43,16,31,9,9,14,1,1,0.55,9,9,14,1
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/AuthKeyspace.java,cassandra/src/java/org/apache/cassandra/auth/AuthKeyspace.java,1,1,1,1,4,0,4,0,1,2,10,3,3,1,0,3,0,2,0,1,98,13,61,25,38,24,19,23,21,7,1,1,1,1,0,0.39,3,3,3,3
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/AuthMigrationListener.java,cassandra/src/java/org/apache/cassandra/auth/AuthMigrationListener.java,1,1,1,1,4,0,4,0,1,0,0,4,4,4,0,4,0,0,0,4,53,6,27,10,7,20,10,15,10,5,1,1,1,1,0,0.74,4,4,4,4
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/AuthenticatedUser.java,cassandra/src/java/org/apache/cassandra/auth/AuthenticatedUser.java,1,1,1,1,6,0,4,1,1,0,5,11,11,11,2,11,0,0,0,11,132,21,67,27,22,44,26,40,24,19,3,3,3,3,1,0.66,13,13,14,13
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/CassandraAuthorizer.java,cassandra/src/java/org/apache/cassandra/auth/CassandraAuthorizer.java,2,2,2,1,15,1,14,0,3,0,6,23,23,23,2,23,0,11,0,12,468,57,355,110,193,56,122,180,100,106,7,7,8,3,4,0.16,53,53,57,25
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/CassandraLoginModule.java,cassandra/src/java/org/apache/cassandra/auth/CassandraLoginModule.java,2,2,3,1,26,0,16,10,1,0,1,7,7,7,7,7,0,2,0,5,258,21,143,44,69,94,73,94,37,64,5,5,5,1,2,0.66,20,20,21,7
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/CassandraPrincipal.java,cassandra/src/java/org/apache/cassandra/auth/CassandraPrincipal.java,2,2,2,1,16,0,6,9,1,0,1,5,5,5,1,5,0,0,0,5,134,12,43,16,17,79,16,27,12,15,5,5,5,5,1,1.84,10,10,10,9
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/CassandraRoleManager.java,cassandra/src/java/org/apache/cassandra/auth/CassandraRoleManager.java,1,1,1,1,12,0,11,0,7,6,9,44,44,36,9,42,1,16,1,24,679,63,512,115,282,105,164,246,110,156,6,6,6,3,3,0.21,84,82,87,48
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/DataResource.java,cassandra/src/java/org/apache/cassandra/auth/DataResource.java,2,1,2,1,9,0,6,2,2,4,4,20,18,16,7,20,0,1,0,19,268,32,168,42,84,68,57,89,36,57,4,4,5,3,1,0.4,41,32,44,24
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/FunctionResource.java,cassandra/src/java/org/apache/cassandra/auth/FunctionResource.java,2,1,2,1,9,0,7,2,2,6,5,23,21,17,7,23,0,5,0,18,331,37,215,62,109,79,85,124,57,76,5,4,6,3,1,0.37,47,38,51,27
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/IAuthenticator.java,cassandra/src/java/org/apache/cassandra/auth/IAuthenticator.java,0,0,0,0,0,0,0,0,2,0,0,0,9,9,0,9,6,0,0,3,131,11,21,17,0,99,15,17,17,0,0,0,0,0,0,4.71,0,0,0,0
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/IAuthorizer.java,cassandra/src/java/org/apache/cassandra/auth/IAuthorizer.java,1,1,1,1,8,0,4,4,1,0,0,1,10,10,0,10,10,0,0,0,155,12,24,19,1,119,15,17,16,1,1,1,1,1,0,4.96,1,1,1,1
File,Cassandra,cassandra/src/java/org/apache/cassandra/auth/IInternodeAuthenticator.java,cassandra/src/java/org/apache/cassandra/auth/IInternodeAuthenticator.java,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,2,2,0,0,0,44,5,8,6,0,31,5,6,6,0,0,0,0,0,0,3.88,0,0,0,0
