id,TryStartLine,TryEndLine,TryLOC,CatchStartLine,CatchEndLine,CatchLOC,CatchStart,CatchLength,MethodStartLine,MethodEndLine,MethodLOC,Binded,RecoveredBinding,Kind,Checked,ParentNodeType,RecoverFlag,InnerCatch,ParentTryStartLine,Logged,MultiLog,Abort,Default,GetCause,OtherInvocation,NumThrown,NumThrowNew,NumThrowWrapCurrentException,Return,Continue,EmptyBlock,CatchException,FinallyThrowing,NumDistinctMethods,NumMethodsNotBinded,NumDistinctExceptions,NumSpecificHandler,NumSubsumptionHandler,NumSupersumptionHandler,NumOtherHandler,MaxLevel,NumIsBindingInfo,NumIsDocSemantic,NumIsDocSyntax,NumIsThrow,ToDo,ExceptionType,ParentMethod,ParentType,FilePath,StartLine
217,268,271,1,271,274,1,11129,98,262,294,30,1,0,3,1,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,0,"java.lang.Throwable","shutdown()","io.debezium.kafka.KafkaCluster","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\test\java\io\debezium\kafka\KafkaCluster.java",271
218,399,402,1,402,405,1,15903,80,398,406,6,1,0,3,1,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,"java.lang.Throwable","shutdownReliably(KafkaServer)","io.debezium.kafka.KafkaCluster","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\test\java\io\debezium\kafka\KafkaCluster.java",402
219,376,383,6,383,387,2,13481,90,374,393,15,1,0,3,1,31,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,"java.lang.Throwable","time(String,int,Callable<T>,Consumer<T>)","io.debezium.util.Testing.Timer","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-core\src\test\java\io\debezium\util\Testing.java",383
220,665,670,2,670,674,2,29531,146,649,895,192,1,0,3,1,54,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,7,0,7,0,0,1,7,0,0,0,0,"java.lang.Throwable","run()","io.debezium.embedded.EmbeddedEngine","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-embedded\src\main\java\io\debezium\embedded\EmbeddedEngine.java",670
221,678,683,2,683,687,2,30238,157,649,895,192,1,0,3,1,54,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,7,0,7,0,0,1,7,0,0,0,0,"java.lang.Throwable","run()","io.debezium.embedded.EmbeddedEngine","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-embedded\src\main\java\io\debezium\embedded\EmbeddedEngine.java",683
222,689,693,2,693,697,2,30622,165,649,895,192,1,0,3,1,54,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,"java.lang.Throwable","run()","io.debezium.embedded.EmbeddedEngine","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-embedded\src\main\java\io\debezium\embedded\EmbeddedEngine.java",693
223,744,762,12,762,778,11,34276,803,649,895,192,1,0,3,1,54,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,"java.lang.Throwable","run()","io.debezium.embedded.EmbeddedEngine","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-embedded\src\main\java\io\debezium\embedded\EmbeddedEngine.java",762
224,764,768,2,768,771,1,34538,107,649,895,192,1,0,3,1,12,0,1,744,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,"java.lang.Throwable","run()","io.debezium.embedded.EmbeddedEngine","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-embedded\src\main\java\io\debezium\embedded\EmbeddedEngine.java",768
225,808,831,16,831,836,2,38588,223,649,895,192,1,0,3,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,1,0,0,1,1,0,0,0,0,"java.lang.Throwable","run()","io.debezium.embedded.EmbeddedEngine","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-embedded\src\main\java\io\debezium\embedded\EmbeddedEngine.java",831
226,844,856,7,860,863,1,40305,126,649,895,192,1,0,3,1,54,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,3,0,3,0,0,3,3,0,0,1,0,"java.lang.Throwable","run()","io.debezium.embedded.EmbeddedEngine","C:\Users\pavan\Downloads\debezium-master (1)\debezium-master\debezium-embedded\src\main\java\io\debezium\embedded\EmbeddedEngine.java",860
